"cid","name","chamber","avg04","avg12","growth","chgpct","category","Origin","Source"
"N00001143","Ackerman, Gary (D-NY)","H","1353009","371508","-981501","-72.5","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003028","Aderholt, Robert B (R-Ala)","H","780510","2429008","1648498","211.2",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007653","Akaka, Daniel K (D-Hawaii)","S","574004","975503","401499","69.9","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009677","Akin, Todd (R-Mo)","H","265013","603009","337996","127.5",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009888","Alexander, Lamar (R-Tenn)","S","28400433","2794024","-25606409","-90.2","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000826","Andrews, Robert E (D-NJ)","H","313095","814004","500909","160.0",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007089","Baca, Joe (D-Calif)","H","24502","24502","0","0.0","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00008091","Bachus, Spencer (R-Ala)","H","1084011","631507","-452504","-41.7","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004367","Baldwin, Tammy (D-Wis)","S","1160506","798502","-362004","-31.2","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00026080","Barrow, John (D-Ga)","H","5076520","3758502","-1318018","-26.0","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002017","Bartlett, Roscoe G (R-Md)","H","3783003","5106008","1323005","35.0","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00005656","Barton, Joe (R-Texas)","H","39502","78501","38999","98.7","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000423","Bass, Charles (R-NH)","H","2448511","7030017","4581506","187.1",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004643","Baucus, Max (D-Mont)","S","162008","519500","357492","220.7",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009774","Becerra, Xavier (D-Calif)","H","712015","1753030","1041015","146.2",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009818","Berkley, Shelley (D-Nev)","H","5752024","13864538","8112514","141.0",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00008094","Berman, Howard L (D-Calif)","H","498024","2544978","2046954","411.0",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001669","Biden, Joseph R Jr","E","41505","-274487","-315992","-761.3",">100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004762","Biggert, Judy (R-Ill)","H","6231042","2883036","-3348006","-53.7","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00006518","Bingaman, Jeff (D-NM)","S","6937575","10842031","3904456","56.3","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00025292","Bishop, Rob (R-Utah)","H","-16499","40501","57000","345.5",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002674","Bishop, Sanford D Jr (D-Ga)","H","184005","56503","-127502","-69.3","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00025413","Bishop, Timothy H (D-NY)","H","735500","1342004","606504","82.5","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003105","Blackburn, Marsha (R-Tenn)","H","379515","551512","171997","45.3","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007727","Blumenauer, Earl (D-Ore)","H","3357511","6809015","3451504","102.8",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00005195","Blunt, Roy (R-Mo)","S","223003","3460010","3237007","1451.6",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003675","Boehner, John (R-Ohio)","H","2717010","3924561","1207551","44.4","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00025330","Bonner, Jo (R-Ala)","H","3604513","6786510","3181997","88.3","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007068","Bono Mack, Mary (R-Calif)","H","2966575","748017","-2218558","-74.8","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00013873","Boozman, John (R-Ark)","S","1073505","3564006","2490501","232.0",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00024866","Bordallo, Madeleine Z (D-Guam)","H","1523003","5147503","3624500","238.0",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00026481","Boren, Dan (D-Okla)","H","591502","2198017","1606515","271.6",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004208","Boswell, Leonard L (D-Iowa)","H","1225001","900001","-325000","-26.5","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00026595","Boustany, Charles W Jr (R-La)","H","383001","695268","312267","81.5","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00006692","Boxer, Barbara (D-Calif)","S","3338505","3331503","-7002","-0.2","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00005883","Brady, Kevin (R-Texas)","H","434512","453513","19001","4.4","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001619","Brady, Robert A (D-Pa)","H","799005","1640503","841498","105.3",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002713","Brown, Corrine (D-Fla)","H","-43999","3501","47500","108.0",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003535","Brown, Sherrod (D-Ohio)","S","309507","639003","329496","106.5",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00025219","Burgess, Michael (R-Texas)","H","2044526","1526538","-517988","-25.3","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002221","Burr, Richard (R-NC)","S","506011","3157360","2651349","524.0",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000010","Burton, Dan (R-Ind)","H","3137511","1594509","-1543002","-49.2","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00027035","Butterfield, G K (D-NC)","H","1022693","1660010","637317","62.3","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007099","Calvert, Ken (R-Calif)","H","1982503","4075003","2092500","105.5",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00008086","Camp, Dave (R-Mich)","H","7594553","10494638","2900085","38.2","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00013131","Cantor, Eric (R-Va)","H","3561072","9345056","5783984","162.4",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007836","Cantwell, Maria (D-Wash)","S","5894003","3771505","-2122498","-36.0","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009771","Capito, Shelley Moore (R-WVa)","H","2107036","1504531","-602505","-28.6","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007232","Capps, Lois (D-Calif)","H","3290513","98006","-3192507","-97.0","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000267","Capuano, Michael E (D-Mass)","H","1374015","1612018","238003","17.3","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001955","Cardin, Ben (D-Md)","S","2532534","5276037","2743503","108.3",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00024874","Cardoza, Dennis (D-Calif)","H","740001","1683509","943508","127.5",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00005181","Carnahan, Russ (D-Mo)","H","418503","378501","-40002","-9.6","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00012508","Carper, Tom (D-Del)","S","3375027","4207570","832543","24.7","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003758","Carson, Julia (D-Ind)","H","48501","-34998","-83499","-172.2",">100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00025095","Carter, John (R-Texas)","H","2705499","375000","-2330499","-86.1","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003689","Chabot, Steve (R-Ohio)","H","845014","676514","-168500","-19.9","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002685","Chambliss, Saxby (R-Ga)","S","16001","243504","227503","1421.8",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00026591","Chandler, Ben (D-Ky)","H","430503","811507","381004","88.5","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000133","Christian-Christensen, Donna (D-VI)","H","205500","650500","445000","216.5",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00012460","Clay, William L Jr (D-Mo)","H","48501","115003","66502","137.1",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00026790","Cleaver, Emanuel (D-Mo)","H","813007","684005","-129002","-15.9","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000019","Clinton, Hillary","E","30098002","15349503","-14748499","-49.0","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002408","Clyburn, James E (D-SC)","H","165504","468511","303007","183.1",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002247","Coble, Howard (R-NC)","H","1181300","2687615","1506315","127.5",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00005601","Coburn, Tom (R-Okla)","S","2309535","3665560","1356025","58.7","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003328","Cochran, Thad (R-Miss)","S","1406026","2633535","1227509","87.3","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00025726","Cole, Tom (R-Okla)","H","2685056","4358035","1672979","62.3","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000491","Collins, Susan M (R-Maine)","S","196503","2874078","2677575","1362.6",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00026041","Conaway, Mike (R-Texas)","H","3928039","5455557","1527518","38.9","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004613","Conrad, Kent (D-ND)","S","1695519","3340515","1644996","97.0","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004029","Conyers, John Jr (D-Mich)","H","1501","-12500","-14001","-932.8",">100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003132","Cooper, Jim (D-Tenn)","H","3869020","10218293","6349273","164.1",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00024852","Cornyn, John (R-Texas)","S","153505","698511","545006","355.0",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00026341","Costa, Jim (D-Calif)","H","851003","3839003","2988000","351.1",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004956","Costello, Jerry F (D-Ill)","H","298505","1065002","766497","256.8",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00006267","Crapo, Mike (R-Idaho)","S","868014","872009","3995","0.5","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00012739","Crenshaw, Ander (R-Fla)","H","4544511","2388506","-2156005","-47.4","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001127","Crowley, Joseph (D-NY)","H","105003","292513","187510","178.6",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00024978","Cuellar, Henry (D-Texas)","H","646005","855006","209001","32.4","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009738","Culberson, John (R-Texas)","H","-45000","150501","195501","434.4",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001971","Cummings, Elijah E (D-Md)","H","175000","915004","740004","422.9",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004884","Davis, Danny K (D-Ill)","H","381504","253007","-128497","-33.7","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009604","Davis, Susan A (D-Calif)","H","1936026","2024024","87998","4.5","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007781","DeFazio, Peter (D-Ore)","H","877512","1128508","250996","28.6","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00006134","DeGette, Diana (D-Colo)","H","376010","1901012","1525002","405.6",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000615","DeLauro, Rosa L (D-Conn)","H","16555020","15834507","-720513","-4.4","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002472","DeMint, James W (R-SC)","S","89002","215501","126499","142.1",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00026171","Dent, Charles Wieder (R-Pa)","H","469516","458525","-10991","-2.3","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00025337","Diaz-Balart, Mario (R-Fla)","H","-65001","-24500","40501","62.3","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007918","Dicks, Norm (D-Wash)","H","261504","606003","344499","131.7",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001783","Dingell, John D (D-Mich)","H","3687032","5239554","1552522","42.1","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00006023","Doggett, Lloyd (D-Texas)","H","12394552","21008542","8613990","69.5","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001373","Doyle, Mike (D-Pa)","H","212501","475000","262499","123.5",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00006932","Dreier, David (R-Calif)","H","18052516","7990513","-10062003","-55.7","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003209","Duncan, John J Jr (R-Tenn)","H","626010","358009","-268001","-42.8","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004981","Durbin, Dick (D-Ill)","S","1009945","1345245","335300","33.2","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00005090","Emerson, Jo Ann (R-Mo)","H","532005","625501","93496","17.6","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001003","Engel, Eliot L (D-NY)","H","44002","56502","12500","28.4","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
